timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737371118443,1675,EditAccountForm,200,OK,Thread Group 1-1,text,true,,22844,1184,1,1,https://jpetstore.aspectran.com/account/signonForm?referer=%2Faccount%2FeditAccountForm,1189,0,714
1737371118443,1193,EditAccountForm-0,302,Found,Thread Group 1-1,,true,,864,576,1,1,https://jpetstore.aspectran.com/account/editAccountForm,1189,0,714
1737371119637,481,EditAccountForm-1,200,OK,Thread Group 1-1,text,true,,21980,608,1,1,https://jpetstore.aspectran.com/account/signonForm?referer=%2Faccount%2FeditAccountForm,460,0,0
1737371148569,954,EditAccount,200,OK,Thread Group 1-1,text,true,,22759,1593,1,1,https://jpetstore.aspectran.com/account/signonForm?referer=%2Faccount%2FeditAccount,488,0,0
1737371148569,488,EditAccount-0,302,Found,Thread Group 1-1,,true,,862,936,1,1,https://jpetstore.aspectran.com/account/editAccount,488,0,0
1737371149059,464,EditAccount-1,200,OK,Thread Group 1-1,text,true,,21897,657,1,1,https://jpetstore.aspectran.com/account/signonForm?referer=%2Faccount%2FeditAccount,458,0,0
1737371118368,2629,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,45603,2777,1,1,null,1677,28529,714
